,product,price,link
35,Ski Smooth Strawberry & Raspberry Yogurts,£1.45,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/ski-smooth-strawberry-raspberry-yogurts/910000019101
36,ASDA Fat Free Greek Style Yogurt,£0.85,https://groceries.asda.com/product/natural-greek-yogurts/asda-fat-free-greek-style-yogurt/1000383153073
37,ASDA Creamy Honey Greek Style Yogurt 450g,£1.25,https://groceries.asda.com/product/natural-greek-yogurts/asda-creamy-honey-greek-style-yogurt-450-g/910000461974
38,Muller Corner Mississippi Mud Pie Chocolate Yogurt,£0.90,https://groceries.asda.com/product/corner-yogurts/muller-corner-mississippi-mud-pie-chocolate-yogurt/1000383167961
39,Wildlife Choobs Strawberry Flavour Yogurt Tubes 6x37g,£1.15,https://groceries.asda.com/product/kids-yogurts-fromage-frais/wildlife-choobs-strawberry-flavour-yogurt-tubes-6-x-37-g/1000078555728
40,"Frubes Strawberry, Red Berry and Peach Flavour Yogurt Tubes 9 x 37g (333g)",£1.50,https://groceries.asda.com/product/kids-yogurts-fromage-frais/frubes-strawberry-red-berry-and-peach-flavour-yogurt-tubes-9-x-37-g-333-g/1000078555677
41,"Activia Strawberry, Raspberry, Cherry & Blueberry No Added Sugar Fat Free Multipack yoghurt",£3.00,https://groceries.asda.com/product/gut-health-yogurts-kefir/activia-strawberry-raspberry-cherry-blueberry-no-added-sugar-fat-free-multipack-yoghurt/1000290067947
42,"ASDA Apricot, Raspberry & Strawberry Fromage Frais12m+",£0.84,https://groceries.asda.com/product/kids-yogurts-fromage-frais/asda-apricot-raspberry-strawberry-fromage-frais-12-m/910003084364
43,Oykos Strawberry Luxury Greek Style Yoghurt,£2.00,https://groceries.asda.com/product/natural-greek-yogurts/oykos-strawberry-luxury-greek-style-yoghurt/910000786632
44,Activia Rhubarb Yoghurt,£2.50,https://groceries.asda.com/product/gut-health-yogurts-kefir/activia-rhubarb-yoghurt/1000290068820
45,Onken Cherry Yogurt,£1.25,https://groceries.asda.com/product/big-pot-yogurts/onken-cherry-yogurt/910000470865
46,Milkybar Desserts,£1.40,https://groceries.asda.com/product/kids-yogurts-fromage-frais/milkybar-desserts/1000226920920
47,Muller Light Fat Free Vanilla & Dark Chocolate Yogurt,£0.90,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/muller-light-fat-free-vanilla-dark-chocolate-yogurt/1000116808389
48,"Petits Filous Strawberry, Raspberry and Apricot Fromage Frais 18 x 47g (846g)",£3.00,https://groceries.asda.com/product/kids-yogurts-fromage-frais/petits-filous-strawberry-raspberry-and-apricot-fromage-frais-18-x-47-g-846-g/910001458433
49,Activia Raspberry & Chia Seed Muesli Low Fat Yogurt,£1.10,https://groceries.asda.com/product/gut-health-yogurts-kefir/activia-raspberry-chia-seed-muesli-low-fat-yogurt/1000161156362
50,Actimel Multifruit Cultured Yoghurt Drink,£3.50,https://groceries.asda.com/product/kefir-live-yogurt-drinks/actimel-multifruit-cultured-yoghurt-drink/1429710
51,Cadbury Dairy Milk Buttons Chocolate Dessert,£1.10,https://groceries.asda.com/product/chocolate-caramel-desserts/cadbury-dairy-milk-buttons-chocolate-dessert/1000376780232
52,Muller Light Fat Free Strawberry Yogurt,£0.90,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/muller-light-fat-free-strawberry-yogurt/1000116808369
53,Cadbury Flake Chocolate Dessert,£1.10,https://groceries.asda.com/product/chocolate-caramel-desserts/cadbury-flake-chocolate-dessert/1000376780395
54,Strings & Things Yollies Strawberry Yogurt Lollies,£1.75,https://groceries.asda.com/product/kids-yogurts-fromage-frais/strings-things-yollies-strawberry-yogurt-lollies/910001451015
55,ASDA Fat Free Greek Style Yogurt 500g,£1.10,https://groceries.asda.com/product/natural-greek-yogurts/asda-fat-free-greek-style-yogurt-500-g/910000461906
56,Arla Protein Strawberry Yogurt,£1.10,https://groceries.asda.com/product/diet-low-fat-no-added-sugar-yogurts/arla-protein-strawberry-yogurt/910001812876
57,Petits Filous Strawberry and Raspberry Fromage Frais 6 x 47g,£1.75,https://groceries.asda.com/product/kids-yogurts-fromage-frais/petits-filous-strawberry-and-raspberry-fromage-frais-6-x-47-g/910001458254
58,Petits Filous Big Pots Strawberry and Raspberry Fromage Frais 4 x 85g (340g),£1.50,https://groceries.asda.com/product/kids-yogurts-fromage-frais/petits-filous-big-pots-strawberry-and-raspberry-fromage-frais-4-x-85-g-340-g/910001458097
59,Muller Light Greek Style Lemon Yogurt,£2.35,https://groceries.asda.com/product/natural-greek-yogurts/muller-light-greek-style-lemon-yogurt/1000377031691
