Date,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Weekday,Daily_Perf
2019-05-31 00:00:00+08:00,2019-05-31,0.30707419766519456,0.3091350963420469,0.30295240031148996,0.3050132989883423,1636000,0.0,0.0,4,
2019-06-03 00:00:00+08:00,2019-06-03,0.30089153965564086,0.3050133375301806,0.298830640718371,0.30295243859291077,1530000,0.0,0.0,0,-0.006756624718551318
2019-06-04 00:00:00+08:00,2019-06-04,0.3029524173858387,0.3029524173858387,0.296769721006826,0.3008915185928345,1084000,0.0,0.0,1,-0.006802783993581363
2019-06-05 00:00:00+08:00,2019-06-05,0.3050132989883423,0.3050132989883423,0.29883060295778535,0.3050132989883423,1855000,0.0,0.0,2,0.013698559583148029
2019-06-06 00:00:00+08:00,2019-06-06,0.3050133375301806,0.3050133375301806,0.30089153965564086,0.30295243859291077,282000,0.0,0.0,3,-0.006756624718551318
2019-06-10 00:00:00+08:00,2019-06-10,0.30501331166121304,0.3091351091861725,0.3029524128987333,0.3091351091861725,1138000,0.0,0.0,0,0.02040805686192093
2019-06-11 00:00:00+08:00,2019-06-11,0.30913509658490756,0.3194395899772644,0.30913509658490756,0.3194395899772644,3584000,0.0,0.0,1,0.0333332594224558
2019-06-12 00:00:00+08:00,2019-06-12,0.3173787042360914,0.31325690671113193,0.30501331166121304,0.3091351091861725,1400000,0.0,0.0,2,-0.03225799529677997
2019-06-13 00:00:00+08:00,2019-06-13,0.30707421042369276,0.3091351091861725,0.3029524128987333,0.3091351091861725,836000,0.0,0.0,3,0.0
2019-06-14 00:00:00+08:00,2019-06-14,0.3070742364674505,0.3091351354047204,0.30089153965564086,0.30295243859291077,1022000,0.0,0.0,4,-0.01999989781017819
2019-06-17 00:00:00+08:00,2019-06-17,0.3070742364674505,0.3091351354047204,0.30089153965564086,0.30295243859291077,838000,0.0,0.0,0,0.0
2019-06-18 00:00:00+08:00,2019-06-18,0.3029524335737451,0.3111960291862488,0.3029524335737451,0.3111960291862488,918000,0.0,0.0,1,0.027210840855502294
2019-06-19 00:00:00+08:00,2019-06-19,0.31737870902876264,0.32562232877101793,0.31737870902876264,0.323561429977417,2680000,0.0,0.0,2,0.039735085384934754
2019-06-20 00:00:00+08:00,2019-06-20,0.32356145457205915,0.3318050503730774,0.31531783420318754,0.3318050503730774,3406000,0.0,0.0,3,0.02547775980664868
2019-06-21 00:00:00+08:00,2019-06-21,0.333865967158616,0.333865967158616,0.323561471856872,0.3276832699775696,2342031,0.0,0.0,4,-0.01242229553430041
