,quote,standard_deviation,sharpe_ratio,alpha,beta,r_squared,value_at_risk
0,6811.hk,0.40595866152275195,-0.4557347904815029,-0.060631918056844314,0.697672043652103,0.17130337184288236,0.04246677355183699
1,1428.hk,0.4053460393412962,0.9826158864549789,0.6161444009827828,0.7843383386055576,0.2164689789584826,0.04025692468476747
2,0041.hk,0.2527263709304301,-0.6646385481985609,-0.10042822696585152,0.47665991959824544,0.20566329863246308,0.026705658209381783
3,0752.hk,0.2957522557539418,-0.1418739633182733,0.04128524654519272,0.35652345463994206,0.08401575398160033,0.030558364614003127
4,6882.hk,0.5946433654595513,0.011334383370710698,0.25082846990774565,0.5306289157690177,0.04603724411677116,0.06083656919526473
